Insert Index;Insert Time (ms);Insert Operation Count;Search Index;Contains Time (ms);Contains Operation Count;Delete Time (ms);Delete Operations Count
1;707000;3;;;;;
2;7700;13;;;;;
3;7400;28;;;;;
4;2200;17;;;;;
5;1800;10;;;;;
6;3000;27;;;;;
7;2100;16;;;;;
8;2600;23;;;;;
9;4400;35;;;;;
10;3700;45;;;;;
11;2200;16;;;;;
12;4700;48;;;;;
13;3000;32;;;;;
14;2700;27;;;;;
15;3600;44;;;;;
16;2700;27;;;;;
17;2700;29;;;;;
18;7700;26;;;;;
19;3000;25;;;;;
20;2800;27;;;;;
21;3700;50;;;;;
22;3400;49;;;;;
23;3700;67;;;;;
24;1900;22;;;;;
25;3700;60;;;;;
26;2200;31;;;;;
27;2300;31;;;;;
28;3200;31;;;;;
29;2200;27;;;;;
30;3100;48;;;;;
31;2800;37;;;;;
32;2400;29;;;;;
33;1800;24;;;;;
34;2500;31;;;;;
35;2500;33;;;;;
36;2000;22;;;;;
37;2900;43;;;;;
38;3800;66;;;;;
39;2600;33;;;;;
40;2600;37;;;;;
41;3600;57;;;;;
42;2100;24;;;;;
43;2000;30;;;;;
44;3000;54;;;;;
45;2100;26;;;;;
46;2100;30;;;;;
47;3000;41;;;;;
48;3800;43;;;;;
49;2700;39;;;;;
50;2300;36;;;;;
51;2500;36;;;;;
52;4300;94;;;;;
53;3300;57;;;;;
54;2000;24;;;;;
55;2100;28;;;;;
56;2200;28;;;;;
57;2600;35;;;;;
58;2000;24;;;;;
59;3300;53;;;;;
60;2400;34;;;;;
61;5400;103;;;;;
62;2400;34;;;;;
63;3100;45;;;;;
64;2300;34;;;;;
65;4100;24;;;;;
66;3900;71;;;;;
67;3400;62;;;;;
68;2500;39;;;;;
69;2800;52;;;;;
70;2000;35;;;;;
71;2000;35;;;;;
72;2300;43;;;;;
73;3000;59;;;;;
74;3900;37;;;;;
75;2400;28;;;;;
76;3200;48;;;;;
77;2700;42;;;;;
78;2400;37;;;;;
79;2400;41;;;;;
80;2300;40;;;;;
81;4400;107;;;;;
82;2300;37;;;;;
83;2700;50;;;;;
84;2600;45;;;;;
85;3200;70;;;;;
86;2900;55;;;;;
87;1900;28;;;;;
88;2100;36;;;;;
89;3100;60;;;;;
90;1700;26;;;;;
91;4600;58;;;;;
92;2200;36;;;;;
93;2600;46;;;;;
94;2600;43;;;;;
95;2500;41;;;;;
96;2900;32;;;;;
97;3300;55;;;;;
98;2100;35;;;;;
99;2400;39;;;;;
100;1800;28;;;;;
101;2600;38;;;;;
102;1800;30;;;;;
103;2800;49;;;;;
104;1700;28;;;;;
105;2000;34;;;;;
106;2800;50;;;;;
107;2200;37;;;;;
108;4000;52;;;;;
109;18700;69;;;;;
110;1100;39;;;;;
111;6800;37;;;;;
112;1600;54;;;;;
113;1300;49;;;;;
114;1500;52;;;;;
115;1300;46;;;;;
116;800;36;;;;;
117;1100;41;;;;;
118;1200;43;;;;;
119;1000;34;;;;;
120;800;36;;;;;
121;2100;86;;;;;
122;1000;41;;;;;
123;1300;48;;;;;
124;1200;45;;;;;
125;1200;45;;;;;
126;2000;86;;;;;
127;1400;39;;;;;
128;3700;99;;;;;
129;1200;41;;;;;
130;1500;57;;;;;
131;1800;69;;;;;
132;1600;66;;;;;
133;1400;49;;;;;
134;800;28;;;;;
135;1600;56;;;;;
136;800;28;;;;;
137;1100;39;;;;;
138;1000;38;;;;;
139;900;32;;;;;
140;1400;35;;;;;
141;2100;75;;;;;
142;1500;56;;;;;
143;1000;28;;;;;
144;1300;47;;;;;
145;2100;67;;;;;
146;1500;62;;;;;
147;800;34;;;;;
148;1100;45;;;;;
149;1200;52;;;;;
150;900;35;;;;;
151;900;28;;;;;
152;2100;92;;;;;
153;900;46;;;;;
154;1100;35;;;;;
155;1300;43;;;;;
